sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
17778,CRAMLINGTON STW,UKENNE_NU_TP000020,Grab,NA,2021-11-13T00:00:00Z,7.38,1276,28.75,4,208,4.77E+07,8.49E+06,3.12E+08,0.06,0.08,0.02,,24832,24965,0,0,21154,35345,0,81,167788.773,177584.4133,2230.9053,4682.8105,0,0,0,0,0,0,0,0
17779,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Grab,NA,2021-11-13T00:00:00Z,7.64,1166,65.58,2.37,147,2.15E+07,9.45E+07,2.35E+08,0.11,,0.07,0.13,38680,40522,0,0,0,57152,0,0,32616.231,23173.302,1019.25146,5403.645,0,0,0,0,detected,0,0,0
17780,LONDON (Becton STW),UKENTH_TWU_TP000014,Grab,2021-11-12T09:00:00Z,2021-11-13T00:00:00Z,7.42,974.9,17.76,1.88,208,4.06E+07,4.01E+07,1.92E+08,0.10,,0.47,,48363,36509,0,0,85222,50743,0,0,98704.467,44838.65333,1584.9021,8452.54,0,0,0,0,detected,detected,0,0
17781,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-12T08:00:00Z,2021-11-13T00:00:00Z,7.39,2875,22.38,2,55.3,2.25E+07,7.06E+07,2.12E+08,0.11,,0.49,,42328,43061,0,0,354927,212441,0,0,78656.807,51058.62933,498.3516,3910.0503,0,0,0,0,0,0,0,0
17782,Hartlepool Seaton Carew TW,NW-HTW,Grab,2021-11-12T00:00:00Z,2021-11-13T00:00:00Z,7.68,1140,22.9,1.98,166,1.68E+07,4.31E+06,2.11E+08,0.07,0.00,0.00,0.00,21325,935,0,0,0,0,0,0,30891.360,0,3816.527,27.977444,0,0,0,0,0,detected,0,0
17783,LONDON (Mogden STW),UKENTH_TWU_TP000113,Grab,2021-11-12T13:00:00Z,2021-11-13T00:00:00Z,7.7,2085,21.79,2,288,1.22E+07,4.97E+06,1.14E+08,0.09,0.07,0.12,,14343,12243,0,0,0,13304,0,0,76578.287,43150.79333,1583.8516,1843.717,0,0,0,0,0,0.000,0,0
17784,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-12T06:35:00Z,2021-11-13T00:00:00Z,7.49,308.7,1.9,0.13,202,1.86E+07,1.07E+07,1.39E+08,0.08,0.05,0.50,,22367,25452,0,0,157928,140864,0,0,11164.519,15849.378,168.2317,2781.7212,0,0,0,0,0,0.000,0,0
17785,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-12T00:00:00Z,2021-11-13T00:00:00Z,7.62,541.2,15.75,2.27,98.7,3.92E+07,2.16E+07,9.84E+07,0.00,0.00,0.10,0.00,10654,5668,0,0,0,38177,0,0,0.000,2777.168267,2205.2607,13330.113,0,0,0,0,0,0.000,0,0
17786,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-12T08:00:00Z,2021-11-13T00:00:00Z,7.62,541.2,15.75,2.271,113,6.80E+06,7.63E+06,1.69E+08,0.07,0.05,0.00,0.00,37089,21744,0,0,0,1843,0,89,0.000,0,2496.069,2111.223,0,0,0,0,detected,0.000,0,0
17825,CRAMLINGTON STW,UKENNE_NU_TP000020,Grab,2021-11-14T10:23:00Z,2021-11-15T10:50:00Z,7.33,1189,7.16,4.63,75.7,5.78E+07,1.21E+08,2.95E+08,0.10,,0.00,0.00,39816,7549,0,0,77385,26199,0,0,27817.707,19725.72067,2495.6162,4005.1016,0,0,0,0,0,0.000,0,0
